time, iterations
0.001,11456
0.002,9132
0.003,9191
0.004,9816
0.005,10061
0.006,10181
0.007,10233
0.008,10241
0.009,10216
0.01,10164
0.011,10093
0.012,10008
0.013,9918
0.014,9832
0.015,9760
0.016,9714
0.017,9697
0.018,9708
0.019,9738
0.02,9775
0.021,9809
0.022,9831
0.023,9836
0.024,9817
0.025,9768
0.026,9680
0.027,9539
0.028,9313
0.029,8908
0.03,7504
0.031,8721
0.032,9235
0.033,9505
0.034,9675
0.035,9787
0.036,9859
0.037,9902
0.038,9919
0.039,9916
0.04,9895
0.041,9858
0.042,9808
0.043,9745
0.044,9673
0.045,9593
0.046,9507
0.047,9419
0.048,9330
0.049,9243
0.05,9157
0.051,9072
0.052,8985
0.053,8889
