1.99993,1.98953,1.98955,1.98959,1.98963,1.98967,1.98971,1.98975,1.98979,1.98983,1.98987,1.9899,1.98994,1.98997,1.99,1.99003,1.99007,1.99009,1.99012,1.99015,1.99018,1.9902,1.99022,1.99025,1.99027,1.99029,1.9903,1.99032,1.99034,1.99035,1.99037,1.99038,1.99039,1.9904,1.99041,1.99042,1.99042,1.99043,1.99043,1.99044,1.99044,1.99044,1.99044,1.99044,1.99043,1.99043,1.99042,1.99042,1.99041,1.9904,1.99039,1.99038,1.99037,1.99035,1.99034,1.99032,1.9903,1.99028,1.99026,1.99024,1.99022,1.9902,1.99017,1.99015,1.99012,1.99009,1.99006,1.99003,1.99,1.98996,1.98992,1.98989,1.98984,1.9898,1.98974,1.98968,1.98958,1.98939,1.98886,1.99417,1.99994,
0.0204306,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00285175,0.00428463,0.0053943,0.00635283,0.007221,0.00802848,0.0087923,0.00952326,0.0102287,0.0109138,0.0115825,0.0122377,0.0128818,0.0135166,0.0141438,0.0147646,0.0153802,0.0159915,0.0165994,0.0172048,0.0178084,0.0184109,0.0190132,0.0196161,0.0202204,0.0208272,0.0214376,0.0220534,0.0226766,0.0233101,0.0239584,0.0246284,0.0253322,0.0260917,0.0269512,0.0280106,0.0295775,0.028042,0.0228213,
0.0200865,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00281747,0.00423646,0.00533401,0.00628134,0.00713884,0.007936,0.00868975,0.0094108,0.0101064,0.0107819,0.011441,0.0120867,0.0127213,0.0133468,0.0139647,0.0145763,0.0151827,0.0157849,0.0163838,0.0169802,0.0175749,0.0181687,0.0187622,0.0193564,0.019952,0.0205502,0.0211519,0.0217588,0.0223727,0.0229962,0.0236328,0.0242876,0.0249682,0.0256854,0.0264528,0.0272761,0.028138,0.024966,0.0199006,
0.0200009,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00284068,0.00427274,0.00537894,0.0063328,0.00719548,0.00799688,0.00875412,0.0094781,0.0101762,0.0108537,0.0115144,0.0121615,0.0127973,0.0134237,0.0140423,0.0146543,0.0152611,0.0158634,0.0164624,0.0170587,0.0176531,0.0182464,0.0188394,0.0194328,0.0200275,0.0206243,0.0212243,0.0218287,0.022439,0.0230569,0.0236847,0.0243248,0.0249796,0.0256497,0.0263289,0.0269893,0.0275893,0.02438,0.0193216,
0.0199008,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.0028613,0.00430608,0.00542054,0.00638057,0.00724813,0.00805345,0.00881391,0.00954053,0.0102408,0.01092,0.0115822,0.0122305,0.0128671,0.0134941,0.0141131,0.0147254,0.0153321,0.0159343,0.0165329,0.0171287,0.0177225,0.0183149,0.0189068,0.0194988,0.0200917,0.0206862,0.0212833,0.0218838,0.0224886,0.0230988,0.0237152,0.0243382,0.0249666,0.0255959,0.0262145,0.0267958,0.0273335,0.0242191,0.0191261,
0.019796,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00288001,0.00433749,0.0054601,0.00642617,0.00729847,0.0081076,0.00887117,0.00960033,0.0103027,0.0109836,0.0116471,0.0122963,0.0129337,0.0135612,0.0141804,0.0147928,0.0153993,0.0160012,0.0165992,0.0171942,0.017787,0.0183782,0.0189686,0.0195587,0.0201493,0.020741,0.0213344,0.0219301,0.0225287,0.0231305,0.0237353,0.0243423,0.0249489,0.0255495,0.0261338,0.0266849,0.0272231,0.0241608,0.0190088,
0.0196883,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00289683,0.00436699,0.00549763,0.00646963,0.00734654,0.00815938,0.00892595,0.00965753,0.0103618,0.0110443,0.011709,0.0123592,0.0129972,0.013625,0.0142444,0.0148566,0.0154628,0.0160641,0.0166614,0.0172554,0.0178469,0.0184366,0.0190251,0.0196131,0.020201,0.0207893,0.0213787,0.0219693,0.0225615,0.0231551,0.0237494,0.0243432,0.0249336,0.025516,0.0260833,0.0266262,0.027179,0.0241289,0.018905,
0.0195783,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00291175,0.00439462,0.00553318,0.00651098,0.00739241,0.00820884,0.0089783,0.00971221,0.0104184,0.0111023,0.0117681,0.012419,0.0130575,0.0136856,0.0143049,0.0149169,0.0155226,0.0161232,0.0167195,0.0173124,0.0179024,0.0184904,0.0190768,0.0196622,0.0202472,0.020832,0.0214171,0.0220027,0.0225887,0.0231748,0.0237604,0.0243438,0.024923,0.0254945,0.0260541,0.0265972,0.0271645,0.0241023,0.0187996,
0.0194661,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00292479,0.0044204,0.00556679,0.0065503,0.00743612,0.00825604,0.00902829,0.00976443,0.0104723,0.0111576,0.0118244,0.012476,0.0131149,0.0137431,0.0143623,0.0149738,0.015579,0.0161787,0.0167739,0.0173653,0.0179537,0.0185397,0.0191239,0.0197067,0.0202885,0.0208698,0.0214507,0.0220314,0.0226117,0.0231914,0.0237696,0.0243453,0.0249167,0.0254817,0.0260381,0.0265838,0.0271624,0.0240744,0.0186896,
0.0193518,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00293596,0.00444438,0.00559853,0.00658763,0.00747776,0.00830107,0.00907601,0.00981429,0.0105238,0.0112104,0.0118781,0.0125303,0.0131694,0.0137976,0.0144165,0.0150276,0.0156319,0.0162306,0.0168245,0.0174145,0.0180011,0.018585,0.0191667,0.0197468,0.0203255,0.0209032,0.02148,0.0220561,0.0226314,0.0232054,0.0237777,0.0243474,0.0249134,0.0254745,0.0260296,0.026578,0.0271644,0.024043,0.0185745,
0.0192354,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00294531,0.00446661,0.00562844,0.00662305,0.00751738,0.00834399,0.00912154,0.00986186,0.010573,0.0112607,0.0119292,0.0125819,0.0132212,0.0138493,0.0144678,0.0150782,0.0156817,0.0162793,0.0168718,0.0174601,0.0180448,0.0186265,0.0192057,0.0197829,0.0203585,0.0209327,0.0215056,0.0220775,0.0226481,0.0232173,0.0237847,0.0243497,0.0249118,0.0254702,0.0260246,0.0265749,0.0271664,0.0240076,0.0184551,
