-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.10445e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,4.53573e+140,7.07508e+140,8.84475e+140,1.02409e+141,1.13936e+141,1.2365e+141,1.31909e+141,1.38941e+141,1.44906e+141,1.49923e+141,1.54084e+141,1.57466e+141,1.60131e+141,1.62137e+141,1.6353e+141,1.64358e+141,1.64661e+141,1.64478e+141,1.63844e+141,1.62795e+141,1.61363e+141,1.5958e+141,1.57474e+141,1.55075e+141,1.5241e+141,1.49505e+141,1.46384e+141,1.43072e+141,1.39588e+141,1.35956e+141,1.32192e+141,1.28316e+141,1.24342e+141,1.20286e+141,1.16158e+141,1.1197e+141,1.07728e+141,1.03437e+141,9.90999e+140,9.47149e+140,9.02768e+140,8.57755e+140,8.11955e+140,7.65138e+140,7.16983e+140,6.67039e+140,6.14667e+140,5.58938e+140,4.98427e+140,3.05574e+140,
1.35372e+141,8.50464e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,5.97673e+140,9.23882e+140,1.15299e+141,1.3345e+141,1.48485e+141,1.61194e+141,1.7203e+141,1.81284e+141,1.89161e+141,1.95811e+141,2.01352e+141,2.0588e+141,2.09477e+141,2.12213e+141,2.14152e+141,2.15352e+141,2.15865e+141,2.15741e+141,2.15028e+141,2.1377e+141,2.12008e+141,2.09785e+141,2.07138e+141,2.04105e+141,2.00722e+141,1.97023e+141,1.9304e+141,1.88805e+141,1.84346e+141,1.79692e+141,1.74868e+141,1.69898e+141,1.64803e+141,1.59604e+141,1.54317e+141,1.48957e+141,1.43535e+141,1.38061e+141,1.32539e+141,1.26972e+141,1.21354e+141,1.1568e+141,1.09933e+141,1.04093e+141,9.81283e+140,9.19958e+140,8.56357e+140,7.89643e+140,7.18604e+140,5.08835e+140,
1.90148e+141,1.42901e+141,9.84028e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,7.28273e+140,1.11097e+141,1.3824e+141,1.59844e+141,1.778e+141,1.93022e+141,2.06036e+141,2.17181e+141,2.26693e+141,2.34749e+141,2.41485e+141,2.47015e+141,2.51434e+141,2.54824e+141,2.57261e+141,2.58812e+141,2.5954e+141,2.59503e+141,2.58758e+141,2.57357e+141,2.55351e+141,2.52789e+141,2.49717e+141,2.4618e+141,2.42221e+141,2.37881e+141,2.332e+141,2.28216e+141,2.22964e+141,2.17478e+141,2.11789e+141,2.05928e+141,1.99921e+141,1.93794e+141,1.87568e+141,1.81262e+141,1.74893e+141,1.68472e+141,1.6201e+141,1.5551e+141,1.48972e+141,1.42392e+141,1.35757e+141,1.29049e+141,1.2224e+141,1.15293e+141,1.08154e+141,1.0075e+141,9.29826e+140,7.11407e+140,
2.45555e+141,1.99271e+141,1.59642e+141,1.0645e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,8.57152e+140,1.2861e+141,1.59384e+141,1.84004e+141,2.04537e+141,2.21992e+141,2.36952e+141,2.49793e+141,2.60779e+141,2.70106e+141,2.77928e+141,2.84371e+141,2.89543e+141,2.93536e+141,2.96434e+141,2.98315e+141,2.99249e+141,2.99305e+141,2.98544e+141,2.97027e+141,2.94813e+141,2.91958e+141,2.88514e+141,2.84534e+141,2.80067e+141,2.75162e+141,2.69864e+141,2.64216e+141,2.58262e+141,2.5204e+141,2.45588e+141,2.38941e+141,2.32132e+141,2.25189e+141,2.18141e+141,2.11011e+141,2.03819e+141,1.96581e+141,1.89312e+141,1.82018e+141,1.74704e+141,1.67367e+141,1.6e+141,1.52587e+141,1.45106e+141,1.37523e+141,1.29793e+141,1.21854e+141,1.13623e+141,9.13005e+140,
3.01782e+141,2.55644e+141,2.17656e+141,1.71408e+141,1.07785e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,9.9026e+140,1.4579e+141,1.79768e+141,2.07101e+141,2.29976e+141,2.49473e+141,2.66221e+141,2.80625e+141,2.92972e+141,3.03476e+141,3.12303e+141,3.19592e+141,3.25461e+141,3.30012e+141,3.33337e+141,3.35522e+141,3.36646e+141,3.36782e+141,3.36003e+141,3.34374e+141,3.31962e+141,3.28829e+141,3.25034e+141,3.20637e+141,3.15693e+141,3.10257e+141,3.0438e+141,2.98113e+141,2.91503e+141,2.84595e+141,2.77434e+141,2.70058e+141,2.62506e+141,2.54813e+141,2.4701e+141,2.39125e+141,2.31184e+141,2.23207e+141,2.15211e+141,2.07209e+141,1.99207e+141,1.91207e+141,1.83206e+141,1.75192e+141,1.67147e+141,1.59042e+141,1.50839e+141,1.42486e+141,1.33913e+141,1.11333e+141,
3.5902e+141,3.12569e+141,2.75021e+141,2.31173e+141,1.77244e+141,9.92956e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.13126e+141,1.6317e+141,2.00024e+141,2.29841e+141,2.54883e+141,2.7628e+141,2.94696e+141,3.10562e+141,3.24183e+141,3.35787e+141,3.45553e+141,3.53631e+141,3.60146e+141,3.65211e+141,3.68927e+141,3.71384e+141,3.72671e+141,3.72868e+141,3.72052e+141,3.703e+141,3.67681e+141,3.64265e+141,3.60119e+141,3.55308e+141,3.49893e+141,3.43936e+141,3.37494e+141,3.30623e+141,3.23377e+141,3.15806e+141,3.0796e+141,2.99884e+141,2.91621e+141,2.8321e+141,2.74689e+141,2.66091e+141,2.57444e+141,2.48774e+141,2.40102e+141,2.31444e+141,2.22812e+141,2.14211e+141,2.05641e+141,1.97095e+141,1.88558e+141,1.80009e+141,1.71413e+141,1.62727e+141,1.53893e+141,1.31207e+141,
4.17468e+141,3.70378e+141,3.3264e+141,2.89525e+141,2.38912e+141,1.75438e+141,7.26719e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.28272e+141,1.81125e+141,2.20594e+141,2.52713e+141,2.79783e+141,3.02967e+141,3.22956e+141,3.402e+141,3.55021e+141,3.67659e+141,3.78305e+141,3.87116e+141,3.9423e+141,3.99764e+141,4.03827e+141,4.06519e+141,4.07934e+141,4.08161e+141,4.07282e+141,4.0538e+141,4.02533e+141,3.98816e+141,3.94303e+141,3.89064e+141,3.83168e+141,3.76681e+141,3.69669e+141,3.62191e+141,3.54309e+141,3.46077e+141,3.37552e+141,3.28783e+141,3.19819e+141,3.10706e+141,3.01483e+141,2.92191e+141,2.82861e+141,2.73524e+141,2.64206e+141,2.54926e+141,2.457e+141,2.36538e+141,2.27443e+141,2.18413e+141,2.09436e+141,2.00496e+141,1.91565e+141,1.82605e+141,1.73567e+141,1.5089e+141,
4.77333e+141,4.2934e+141,3.90999e+141,3.47751e+141,2.98216e+141,2.39443e+141,1.62989e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,3.90254e+140,1.4466e+141,1.9995e+141,2.41816e+141,2.7609e+141,3.05072e+141,3.29949e+141,3.51429e+141,3.6998e+141,3.85934e+141,3.99545e+141,4.11013e+141,4.20505e+141,4.28164e+141,4.34119e+141,4.38484e+141,4.41368e+141,4.4287e+141,4.43085e+141,4.42106e+141,4.4002e+141,4.36911e+141,4.32862e+141,4.27952e+141,4.22259e+141,4.15857e+141,4.08819e+141,4.01216e+141,3.93115e+141,3.84581e+141,3.75677e+141,3.66462e+141,3.56994e+141,3.47325e+141,3.37506e+141,3.27585e+141,3.17602e+141,3.07597e+141,2.97605e+141,2.87655e+141,2.77771e+141,2.67974e+141,2.58276e+141,2.48685e+141,2.39203e+141,2.29823e+141,2.20532e+141,2.11307e+141,2.02118e+141,1.92921e+141,1.70347e+141,
5.38829e+141,4.89696e+141,4.50443e+141,4.06506e+141,3.56911e+141,2.99745e+141,2.30557e+141,1.33479e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,6.36775e+140,1.62459e+141,2.19886e+141,2.63971e+141,3.00274e+141,3.31072e+141,3.5756e+141,3.80459e+141,4.00249e+141,4.17276e+141,4.318e+141,4.44033e+141,4.5415e+141,4.62301e+141,4.68624e+141,4.7324e+141,4.76264e+141,4.77804e+141,4.77961e+141,4.76835e+141,4.7452e+141,4.71106e+141,4.66683e+141,4.61337e+141,4.55152e+141,4.48208e+141,4.40585e+141,4.3236e+141,4.23605e+141,4.14392e+141,4.04791e+141,3.94865e+141,3.84677e+141,3.74287e+141,3.6375e+141,3.53118e+141,3.42438e+141,3.31755e+141,3.21106e+141,3.10527e+141,3.00046e+141,2.89688e+141,2.79468e+141,2.694e+141,2.59489e+141,2.49731e+141,2.40118e+141,2.30633e+141,2.21247e+141,2.11926e+141,1.89541e+141,
